Label,ALL,F01_LL.JP.1,F02_LL.JP.2,F03_LL.JP.3,F04_LL.JP.4,F05_LL.TW.4,F06_LL.AU.2,F07_LL.AU.3,F08_LL.NZ.3,F09.REC.AU.3,F10_REC.NZ.3,F11_LL.ALL.1,F12_LL.ALL.2,F13_LL.ALL.3,F14_LL.ALL.4,F16_LL.JP.2_early,S01_INDEX.1-4,id
Catch_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44-CAAL-revASPM-14
Catch_like,0.0117983,0.000661512,5.00723e-05,0.000303089,0.00109119,2.05141e-05,3.26335e-05,3.66461e-05,2.96403e-05,2.96047e-05,0.000185697,1.49403e-05,6.63603e-05,4.0993e-05,1.77097e-05,0.00921774,0,44-CAAL-revASPM-14
Init_equ_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44-CAAL-revASPM-14
Init_equ_like,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44-CAAL-revASPM-14
Surv_lambda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44-CAAL-revASPM-14
Surv_like,-31.7188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31.7188,44-CAAL-revASPM-14
Surv_N_use,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44-CAAL-revASPM-14
Surv_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44-CAAL-revASPM-14
Length_lambda,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,44-CAAL-revASPM-14
Length_like,28.6211,0,0,15.0642,0,6.68064,0,0,0,0,34.9141,42.228,0,0,28.6211,0,0,44-CAAL-revASPM-14
Length_N_use,,0,0,23,0,17,0,0,0,0,20,48,0,0,41,0,0,44-CAAL-revASPM-14
Length_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44-CAAL-revASPM-14
Age_lambda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44-CAAL-revASPM-14
Age_like,0,0,0,0,0,0,0,0,0,0.0333508,0.0453076,0,0.0248263,0,0,0,0,44-CAAL-revASPM-14
Age_N_use,,0,0,0,0,0,0,0,0,22,28,0,25,0,0,0,0,44-CAAL-revASPM-14
Age_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44-CAAL-revASPM-14
SizeFreq_lambda:_1,,,0,0,,,0,0,,0,0,,,,,,0,44-CAAL-revASPM-14
SizeFreq_like:_1,0,,132.214,39.6473,,,506.963,253.995,,64.8171,69.7139,,,,,,7.67017,44-CAAL-revASPM-14
